,date,region_new,id_kabupaten,kabupaten,payload_gb,pgb,payload_per_user,cell_prb_high,cell_prb_increase,delta_ct_tile_id_ystd,cell_blank_coverage,cell_decrease_coverage,total_cell,high_user_thp_occurance,remark,note,cluster,percentile_50,percentile_75,percentile_90,prb_percentile_50,prb_percentile_75,prb_percentile_90,pgb_per_cell
0,2023-10-04,JABOTABEK INNER,3171,KOTA ADMINISTRASI JAKARTA SELATAN,709112.8298873967,928679.0,781.8972301567002,1761,0,,0,0,11115,8278.0,Weekdays,,0.0,13857.5342039222,20963.84169972795,29612.83248362868,42.27241304347825,60.8775,78.53652173913046,83.55186684660369
1,2023-10-11,JABOTABEK INNER,3171,KOTA ADMINISTRASI JAKARTA SELATAN,714672.932016721,929960.0,786.9425377275606,1769,1158,-9499.0,533,3680,11133,7670.0,Weekdays,,0.0,13817.1059804397,21303.6719479927,29876.89990412806,42.313,61.619760869565226,77.99269130434783,83.53184227072667
2,2023-10-18,JABOTABEK INNER,3171,KOTA ADMINISTRASI JAKARTA SELATAN,703827.652058946,931316.0,773.8721504928087,1662,929,-5828.0,557,3800,11142,7869.0,Weekdays,,0.0,14098.0469589529,21277.6094720833,29796.94516008434,41.8625,60.24332608695653,76.9461956521739,83.58607072338899
3,2023-10-25,JABOTABEK INNER,3171,KOTA ADMINISTRASI JAKARTA SELATAN,720388.9888019077,928212.0,794.7304328463256,1802,1240,6681.0,518,3588,11155,8194.0,Weekdays,,0.0,13767.6484521911,21035.3737881078,29538.97234644555,42.3805,61.2405,78.46938260869564,83.21039892424922
4,2023-11-01,JABOTABEK INNER,3171,KOTA ADMINISTRASI JAKARTA SELATAN,716145.2032474941,939235.0,780.7765768156361,1591,875,-126427.0,1715,2443,11178,7322.0,Weekdays,,0.0,14760.9491689317,22303.0090879399,31007.147813053463,40.3163043478261,58.9483695652174,76.270652173913,84.02531758811952
5,2023-11-08,JABOTABEK INNER,3171,KOTA ADMINISTRASI JAKARTA SELATAN,734706.2220707461,936997.0,802.9259126768218,1865,1793,101719.0,1164,3447,11200,8091.0,Weekdays,,0.0,13875.4553612702,20981.289148549,29752.846208949122,43.116,62.34215217391305,79.18260869565212,83.66044642857143
6,2023-11-15,JABOTABEK INNER,3171,KOTA ADMINISTRASI JAKARTA SELATAN,744041.9546437487,940480.0,810.1171333310635,1996,1326,-11661.0,646,3663,11227,8397.0,Weekdays,,0.0,13681.8539397644,20890.989984276574,29992.144194857618,43.417,63.43423913043475,80.1522,83.76948427897034
7,2023-11-22,JABOTABEK INNER,3171,KOTA ADMINISTRASI JAKARTA SELATAN,730204.2492212793,929812.0,804.1724038865814,1682,839,-309.0,612,3673,11244,6487.0,Weekdays,,0.0,14365.7893125279,21652.052027105652,30532.20407012272,41.54,60.14,76.99940000000001,82.69405905371754
8,2023-11-29,JABOTABEK INNER,3171,KOTA ADMINISTRASI JAKARTA SELATAN,721495.8741554227,933600.0,791.3579425183727,1644,1216,12593.0,587,3580,11215,6059.0,Weekdays,,0.0,14289.1386844939,21636.267951366,30543.44632790308,41.477000000000004,60.21525,76.84910869565219,83.24565314311191
9,2023-12-06,JABOTABEK INNER,3171,KOTA ADMINISTRASI JAKARTA SELATAN,725452.7128214901,936016.0,793.6441021619352,1836,1519,-126098.0,1639,3096,11241,8307.0,Weekdays,,0.0,13427.0904367392,20728.1742380591,29244.336539596974,42.901630434782604,62.41434782608695,78.4442,83.26803665154345
10,2023-12-13,JABOTABEK INNER,3171,KOTA ADMINISTRASI JAKARTA SELATAN,731625.9670589035,930310.0,805.3068227454474,1790,1071,98608.0,1070,2646,11232,8479.0,Weekdays,,0.0,13426.1161327629,20655.45021912915,29366.041981685867,42.2489130434783,61.65,78.15543478260872,82.82674501424502
11,2023-12-20,JABOTABEK INNER,3171,KOTA ADMINISTRASI JAKARTA SELATAN,718552.7187244613,907414.0,810.8735196656083,1380,855,-11982.0,728,3648,11210,5933.0,Event,libur sekolah,0.0,14510.9471512157,22085.332722063948,30685.3066078543,39.571,57.1055,73.3,80.94683318465655
12,2023-12-27,,3171,KOTA ADMINISTRASI JAKARTA SELATAN,659461.5800609384,818271.0,825.2628505500022,1142,1002,-13740.0,667,3953,11287,6370.0,Event,libur sekolah,0.0,15199.4041821013,22625.67070780845,31444.26119650141,37.151,53.965,70.58680000000003,72.4967661911934
13,2024-01-03,,3171,KOTA ADMINISTRASI JAKARTA SELATAN,674070.0832496919,873233.0,790.4508478810175,1164,1347,-1847.0,455,3944,11283,6778.0,Event,libur sekolah,0.0,15092.8693160606,22551.441351715075,31293.904874142747,37.6725,55.024,70.6645,77.39368962155456
14,2024-01-10,,3171,KOTA ADMINISTRASI JAKARTA SELATAN,720418.1375380671,931274.0,792.1494349020596,1502,1802,7136.0,481,3787,11250,5833.0,Weekdays,,0.0,13975.0382265335,21253.0592067295,29876.67641501662,40.603,58.662499999999994,74.8658,82.7799111111111
15,2024-01-17,,3171,KOTA ADMINISTRASI JAKARTA SELATAN,731724.0306136906,666082.0,1124.914661180484,423,243,,0,0,11289,2177.0,Weekdays,,0.0,13301.0627697849,20626.619773007,29140.527057150823,42.003,60.593,76.56260000000002,59.002746035964215
16,2024-01-31,,3171,KOTA ADMINISTRASI JAKARTA SELATAN,737184.1672418034,892787.0,845.5282024218617,1704,1037,-3945.0,538,3780,11330,8393.0,Weekdays,,0.0,13224.760209673299,20374.752675225674,28993.07896030069,42.1515,60.7305,76.77770000000001,78.79849955869373
